Date,AI version, Board shape, Initial board, Move History, Winner
Tue Jul 11 2017 11:10:43 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,042152024141061163040170074125026132023114054116006153035121051122013127012173036145056105062130064150037147007172046117010115060102011166076100071104031165020175003177001157067155,0
Tue Jul 11 2017 11:10:44 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,042152035141040132031130062145020124050161054146025122014123012101055153037164002104073175000111010116007156057126074167060136017127077171063147015172003113065105051166076121006070,0
Tue Jul 11 2017 11:10:44 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,053152051145055165035161066141070154056126074124063171030131072132014162036125021123073175016107013164015105076147046122012111042167057150001160003120010102040100037127077104017106,0
Tue Jul 11 2017 11:10:44 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,053154045132055165022136031121075163042156035141040124027111047167010166001130057152023120013125073174026164051116015150077103072146006117060161007171002162012114004105076100070137,0
Tue Jul 11 2017 11:10:44 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,053152024123061115022142025113002162006126032105035121027155051163010145016131064114040150066107004175041157046117077160037103071147056112054120072170065136030173011167074100001076,1
Tue Jul 11 2017 11:10:44 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,035145055125042152023113024165061122002114046170031156015103062140032116021157005111030172026112054117047153063120041174010137073164004136075101007166071100077106051160050176027067,1
Tue Jul 11 2017 11:10:45 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,035123042153022141013124032145050112015103046131011121001125010120052154064106014140036175030147057167005165063100056172073174051166055116004160077161062176037127071170026102017107,0
Tue Jul 11 2017 11:10:45 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,035123042153062155024163022111032125014113002103054161016145071107000131064146047152015106051156004105012137066176057141036170020121075173030127040167065174026101050177010172017160,1
Tue Jul 11 2017 11:10:45 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,024145055165046125066156042147035123036151075177054174053152076126041167064130073157037127061163014132060150021170072112062104010171040131016105003111006113020100022102001117015107,1
Tue Jul 11 2017 11:10:45 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,042132023154035152055124045122061146041164031150074140021173012163026136065113020172047111001175056102015137076125010116000177030157066167014104017107051106060103062127053170005171,1
Tue Jul 11 2017 11:10:45 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,024145052123035153012161055125032146070126015166063142054164065122047162013104003136014101073156067176017105075172071137041151021130050157027111077116000174002131006120040110160107,0
Tue Jul 11 2017 11:10:45 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,053152051123024135013132026103022154002163042111031136045114064160020130040117072162055165075101073121012171056125005104010100027106070174066115046161050137016157047176077141067007,0
Tue Jul 11 2017 11:10:46 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,024123032141052153031125014161026121050113010111042151054116022112035155020115071170000117027172002103056162064140046136060130073163045157067174004101066165007176006177075137047105,1
Tue Jul 11 2017 11:10:46 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,035145056126054132024113025153052164065166074163072147023162021151061160003110036137041115071142076102027130073112057122040114046170005106075116011167017177031155007120000104001150,1
Tue Jul 11 2017 11:10:46 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,053132024163052115022112014113004154064123021145042130010131025151006135020116065140061174007141001136055176073103050175027117002137011160047172062100046166056157005171067177070126,1
